location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Senegal,Africa,16743930.0,67.94,,2470.58,41367218579.4,13743.0,287.0,153078.0,914229.8134308971,82077.50510184884,1714.053988520019
Serbia,Europe,6804596.0,76.0,5.609,14048.881,95596959457.07599,31581.0,716.0,931037.0,13682472.846293887,464112.7849471152,10522.29992787228
Seychelles,Africa,98340.0,73.4,3.6,26382.287,2594434103.58,136.0,0.0,,,138295.7087655074,0.0
Sierra Leone,Africa,7976985.0,54.7,,1390.3,11090402245.5,2029.0,71.0,,,25435.6752582586,890.0605930686845
Singapore,Asia,5850343.0,83.62,2.4,85535.383,500411329186.369,56860.0,27.0,805214.0,13763534.890176525,971908.826542307,461.5114019810462
Sint Maarten (Dutch part),North America,42882.0,78.95,,36327.232,1557784362.624,482.0,19.0,,,1124014.738118558,44307.63490508838
Slovakia,Europe,5459643.0,77.54,5.82,30155.152,164636364530.736,4042.0,33.0,340123.0,6229766.305232778,74034.1447233821,604.4351251537876
Slovenia,Europe,2078932.0,81.32,4.5,31400.84,65280211102.88,2988.0,128.0,160479.0,7719300.102167844,143727.64477144997,6157.007540410172
Somalia,Africa,15893219.0,57.4,0.9,,,3310.0,98.0,,,20826.492103330358,616.6151740563066
South Africa,Africa,59308690.0,64.13,2.32,12294.876,729192989272.4401,630595.0,14389.0,3705408.0,6247664.549663802,1063242.1656927508,24261.200171509437
South Korea,Asia,51269183.0,83.03,12.27,35938.374,1842531073328.4421,20644.0,329.0,1923547.0,3751858.1093831747,40265.90398368548,641.7110255101978
South Sudan,Africa,11193729.0,57.85,,1569.888,17572900832.351997,2532.0,47.0,,,22619.807929957926,419.87795130648595
Spain,Europe,46754783.0,83.56,2.97,34272.36,1602396754697.8801,479554.0,29194.0,6416533.0,13723800.193875352,1025679.0198341847,62440.67050851246
Sri Lanka,Asia,21413250.0,76.98,3.6,11669.077,249872863070.25,3101.0,12.0,,,14481.687740067482,56.0400686490841
Sudan,Africa,43849269.0,65.31,0.8,4466.5070000000005,195853066933.38303,13189.0,823.0,,,30078.03847311571,1876.8841961766798
Suriname,South America,586634.0,71.68,3.1,13767.119,8076260087.446,4149.0,72.0,,,707255.2903513946,12273.410678549146
